ARI,Group0,Group1
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, fusuma, ma, mu, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, engawa, fusuma, ma, mu, sabi, shōji, tokonoma"
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, fusuma, ma, sabi, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, fusuma, ma, mu, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","chigaidana, doma, en, engawa, fusuma, ma, shōji, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, fusuma, ma, sabi, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, en, engawa, fusuma, genkan, ma, mu, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, fusuma, genkan, ma, mu, sabi, shōji, tokonoma"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, en, engawa, fusuma, genkan, ma, sabi, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","chigaidana, en, engawa, fusuma, genkan, ma, mu, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","chigaidana, en, engawa, fusuma, genkan, ma, shōji, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","chigaidana, en, engawa, fusuma, genkan, ma, sabi, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, chigaidana, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","doma, en, engawa, fusuma, genkan, ma, mu, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, chigaidana, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, engawa, fusuma, genkan, ma, mu, sabi, shōji, tokonoma"
0.0,"aware, byōbu, chashitsu, chigaidana, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","doma, en, engawa, fusuma, genkan, ma, sabi, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, chigaidana, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","doma, en, engawa, fusuma, genkan, ma, mu, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, chigaidana, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","doma, en, engawa, fusuma, genkan, ma, shōji, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, chigaidana, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","doma, en, engawa, fusuma, genkan, ma, sabi, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, mu, shōji, wabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, mu, sabi, shōji"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, sabi, shōji, wabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, mu, shōji, wabi_sabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa","chigaidana, doma, en, engawa, fusuma, genkan, ma, shōji, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, sabi, shōji, wabi_sabi"
0.0,"aware, byōbu, chashitsu, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, genkan, ma, mu, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, engawa, genkan, ma, mu, sabi, shōji, tokonoma"
0.0,"aware, byōbu, chashitsu, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, genkan, ma, sabi, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, genkan, ma, mu, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","chigaidana, doma, en, engawa, genkan, ma, shōji, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, genkan, ma, sabi, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, mu, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, mu, sabi, tokonoma"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, sabi, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, mu, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa","chigaidana, doma, en, engawa, fusuma, genkan, ma, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, fusuma, genkan, ma, sabi, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, engawa, haiden, hisashi, honden, ikezuishi, karesansui, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, fusuma, genkan, ma, mu, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, engawa, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, fusuma, genkan, ma, mu, sabi, shōji, tokonoma"
0.0,"aware, byōbu, chashitsu, engawa, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, fusuma, genkan, ma, sabi, shōji, tokonoma, wabi"
