ARI,Group0,Group1
-0.09883720930232558,"chashitsu, honden, karesansui, sandō","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, haiden, honden, karesansui","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, hisashi, honden, karesansui","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"byōbu, chashitsu, honden, karesansui","aware, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, honden, karesansui, tsuboniwa","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, honden, karesansui, shimenawa","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, honden, karesansui, torii","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, honden, karesansui, roji","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, honden, karesansui, tomeishi","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, genkan, honden, karesansui","aware, byōbu, chigaidana, doma, en, engawa, fusuma, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, doma, honden, karesansui","aware, byōbu, chigaidana, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, chigaidana, honden, karesansui","aware, byōbu, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, honden, karesansui, tokonoma","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.09883720930232558,"chashitsu, fusuma, honden, karesansui","aware, byōbu, chigaidana, doma, en, engawa, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
