ARI,Group0,Group1
-0.11268512556342562,"chashitsu, haiden, honden, karesansui, sandō","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, hisashi, honden, karesansui, sandō","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"byōbu, chashitsu, honden, karesansui, sandō","aware, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, honden, karesansui, sandō, tsuboniwa","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, honden, karesansui, sandō, shimenawa","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, honden, karesansui, sandō, torii","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, honden, karesansui, roji, sandō","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, honden, ikezuishi, karesansui, sandō","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, honden, karesansui, sandō, tomeishi","aware, byōbu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, torii, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, genkan, honden, karesansui, sandō","aware, byōbu, chigaidana, doma, en, engawa, fusuma, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
-0.11268512556342562,"chashitsu, doma, honden, karesansui, sandō","aware, byōbu, chigaidana, en, engawa, fusuma, genkan, haiden, hisashi, ikezuishi, ma, mu, roji, sabi, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi"
