term,degree,betweenness
tokonoma,0.2962962962962963,0.30740062406729074
chashitsu,0.25925925925925924,0.3464523131189799
wabi,0.18518518518518517,0.3162393162393163
en,0.18518518518518517,0.1804571971238638
torii,0.18518518518518517,0.15289648622981955
honden,0.18518518518518517,0.13315018315018318
genkan,0.18518518518518517,0.1251661918328585
ma,0.18518518518518517,0.041310541310541314
fusuma,0.18518518518518517,0.021984805318138654
engawa,0.14814814814814814,0.4017094017094017
roji,0.14814814814814814,0.1354226020892688
hisashi,0.14814814814814814,0.076007326007326
mu,0.1111111111111111,0.03276353276353276
tsuboniwa,0.1111111111111111,0.024548907882241223
shōji,0.1111111111111111,0.01975986975986976
haiden,0.1111111111111111,0.017141500474833808
byōbu,0.1111111111111111,0.008499525166191832
sabi,0.1111111111111111,0.0
wabi_sabi,0.1111111111111111,0.0
shakkei,0.07407407407407407,0.358974358974359
shimenawa,0.07407407407407407,0.03515805182471849
chigaidana,0.07407407407407407,0.0
aware,0.07407407407407407,0.0
doma,0.037037037037037035,0.0
tomeishi,0.037037037037037035,0.0
ikezuishi,0.037037037037037035,0.0
sandō,0.037037037037037035,0.0
karesansui,0.037037037037037035,0.0
