term,degree,betweenness
engawa,0.3076923076923077,0.6326293706293706
en,0.3076923076923077,0.1701445221445221
shōji,0.23076923076923078,0.4333333333333333
honden,0.19230769230769232,0.16691841491841491
ma,0.19230769230769232,0.09518414918414923
doma,0.15384615384615385,0.17499067599067597
torii,0.15384615384615385,0.07692307692307693
fusuma,0.15384615384615385,0.07538461538461538
haiden,0.15384615384615385,0.05205594405594407
tsuboniwa,0.15384615384615385,0.032146853146853144
hisashi,0.11538461538461539,0.17065034965034967
chashitsu,0.11538461538461539,0.07794871794871795
tokonoma,0.11538461538461539,0.06769230769230769
shakkei,0.11538461538461539,0.018974358974358972
aware,0.11538461538461539,0.015184149184149186
wabi,0.11538461538461539,0.014871794871794871
ikezuishi,0.11538461538461539,0.014198135198135198
mu,0.11538461538461539,0.00871794871794872
karesansui,0.11538461538461539,0.0015384615384615385
chigaidana,0.11538461538461539,0.0010256410256410256
tomeishi,0.11538461538461539,0.0010256410256410256
sandō,0.11538461538461539,0.0
byōbu,0.07692307692307693,0.0
sabi,0.038461538461538464,0.0
genkan,0.038461538461538464,0.0
roji,0.038461538461538464,0.0
shimenawa,0.038461538461538464,0.0
