Rank,ARI_obs,Boot_mean,Boot_std,CI_low,CI_high,P_value,Group0,Group1
1,1.0,1.0,0.0,1.0,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, ma, mu, sabi, shakkei, wabi, wabi_sabi"
2,0.852099817407182,0.8503146767616272,0.14111794531345367,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, en, ma, mu, sabi, shakkei, wabi, wabi_sabi"
3,0.852099817407182,0.8506731390953064,0.13953161239624023,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, engawa, ma, mu, sabi, shakkei, wabi, wabi_sabi"
4,0.852099817407182,0.8495017886161804,0.1466810703277588,0.4932975769042969,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, tokonoma, tomeishi, torii, tsuboniwa","aware, ma, mu, sabi, shakkei, shōji, wabi, wabi_sabi"
5,0.852099817407182,0.8472182154655457,0.14209774136543274,0.5149368643760681,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, fusuma, ma, mu, sabi, shakkei, wabi, wabi_sabi"
6,0.852099817407182,0.8540382981300354,0.13900728523731232,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tomeishi, torii, tsuboniwa","aware, ma, mu, sabi, shakkei, tokonoma, wabi, wabi_sabi"
7,0.852099817407182,0.8542755842208862,0.1374835968017578,0.572323739528656,1.0,0.0001999600079984003,"byōbu, chashitsu, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, chigaidana, ma, mu, sabi, shakkei, wabi, wabi_sabi"
8,0.852099817407182,0.8511618971824646,0.14028067886829376,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, doma, ma, mu, sabi, shakkei, wabi, wabi_sabi"
9,0.852099817407182,0.8532386422157288,0.13932666182518005,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa","aware, genkan, ma, mu, sabi, shakkei, wabi, wabi_sabi"
10,0.852099817407182,0.8504443764686584,0.14029891788959503,0.5544554591178894,1.0,0.0001999600079984003,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, roji, sandō, shimenawa, shōji, tokonoma, torii, tsuboniwa","aware, ma, mu, sabi, shakkei, tomeishi, wabi, wabi_sabi"
