ARI,Group0,Group1
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, doma, en, engawa, fusuma, mu, sabi, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","chigaidana, doma, en, engawa, fusuma, mu, shōji, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","chigaidana, doma, en, engawa, fusuma, mu, sabi, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","chigaidana, doma, en, engawa, fusuma, sabi, shōji, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","chigaidana, en, engawa, fusuma, genkan, mu, sabi, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","chigaidana, en, engawa, fusuma, genkan, mu, shōji, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi","chigaidana, en, engawa, fusuma, genkan, mu, sabi, shōji, tokonoma, wabi_sabi"
0.0,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","chigaidana, en, engawa, fusuma, genkan, sabi, shōji, tokonoma, wabi, wabi_sabi"
0.0,"aware, byōbu, chashitsu, chigaidana, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi_sabi","doma, en, engawa, fusuma, genkan, mu, sabi, shōji, tokonoma, wabi"
0.0,"aware, byōbu, chashitsu, chigaidana, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa","doma, en, engawa, fusuma, genkan, mu, shōji, tokonoma, wabi, wabi_sabi"
