term,cluster_id,cluster_name
aware,0,conceptual
byōbu,1,physical
chashitsu,1,physical
chigaidana,1,physical
doma,1,physical
en,1,physical
engawa,1,physical
fusuma,0,conceptual
genkan,1,physical
haiden,1,physical
hisashi,1,physical
honden,1,physical
ikezuishi,1,physical
karesansui,1,physical
ma,0,conceptual
mu,0,conceptual
roji,1,physical
sabi,0,conceptual
sandō,1,physical
shakkei,0,conceptual
shimenawa,1,physical
shōji,1,physical
tokonoma,1,physical
tomeishi,1,physical
torii,1,physical
tsuboniwa,1,physical
wabi,0,conceptual
wabi_sabi,0,conceptual
