ARI,Group0,Group1
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, doma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, engawa, fusuma, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, doma, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, engawa, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, doma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, engawa, fusuma, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, doma, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, fusuma, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, doma, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","engawa, fusuma, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, fusuma"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, fusuma, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, engawa, fusuma, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, en, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, engawa, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, fusuma, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, engawa, fusuma, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, doma, en, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, fusuma, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, engawa, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, engawa, fusuma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, fusuma, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, engawa, fusuma, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, engawa, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, en, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, engawa, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, fusuma, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, engawa, fusuma, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, chigaidana, en, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, fusuma, shōji, tokonoma"
-0.09883720930232558,"aware, byōbu, chashitsu, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, engawa"
-0.09883720930232558,"aware, byōbu, chashitsu, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, en, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, engawa, shōji"
-0.09883720930232558,"aware, byōbu, chashitsu, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, fusuma"
-0.09883720930232558,"aware, byōbu, chashitsu, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, engawa, fusuma"
