ARI,Group0,Group1
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, doma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, engawa, fusuma, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, fusuma, shōji"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, fusuma, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, fusuma, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, engawa, fusuma, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, engawa, fusuma, shōji"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, engawa, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, engawa, fusuma, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, en, fusuma, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","doma, engawa, fusuma, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, engawa, shōji"
-0.11268512556342562,"aware, byōbu, chashitsu, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, engawa, fusuma"
-0.11268512556342562,"aware, byōbu, chashitsu, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, fusuma, shōji"
-0.11268512556342562,"aware, byōbu, chashitsu, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, engawa, fusuma, shōji"
-0.11268512556342562,"aware, byōbu, chashitsu, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, engawa, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, en, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, engawa, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, en, fusuma, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, en, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, engawa, fusuma, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, en, engawa, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, doma, fusuma, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, doma, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, engawa, fusuma, genkan, shōji"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, doma, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, engawa, genkan, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, doma, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, engawa, fusuma, genkan, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, doma, engawa, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","en, fusuma, genkan, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, chigaidana, doma, en, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","engawa, fusuma, genkan, shōji, tokonoma"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, fusuma, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, genkan, shōji"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, engawa, fusuma, genkan"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, engawa, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, en, fusuma, genkan, shōji"
-0.11268512556342562,"aware, byōbu, chashitsu, doma, en, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi","chigaidana, engawa, fusuma, genkan, shōji"
