term,margin_abs
engawa,0.017664602729034085
ikezuishi,0.02176959024961045
tomeishi,0.030447374951137585
karesansui,0.03701529713668594
shakkei,0.03830256523521813
en,0.03986594385875636
shimenawa,0.04581838324187365
roji,0.06977614764119672
mu,0.07548328762433876
byōbu,0.07642659988754658
torii,0.07829864722602636
tsuboniwa,0.0809459204315297
chashitsu,0.08303335785750698
sandō,0.08556366148790867
fusuma,0.10004339331556733
doma,0.10012828809543967
shōji,0.10298229066289916
chigaidana,0.10329980457015364
tokonoma,0.10340275856187475
haiden,0.10342424924553334
honden,0.10671472263315007
wabi,0.10732474340729325
genkan,0.10912998987850142
wabi_sabi,0.11114021498185334
hisashi,0.1112820435936292
sabi,0.11139728907279811
aware,0.11438353597889506
ma,0.11460156969884572
