concept_score,orientation,purity_conceptual,purity_physical,ari_posthoc,size_A,size_B,ambiguous_topk,mask_int,partition_type,assignment,GroupA,GroupB
0.5500028491140532,A→physical,0.6146015696988457,0.5372393426094795,0.10443864229765012,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,1,degenerate,ma:1; mu:0; wabi:0; sabi:0; wabi_sabi:0; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:0; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi",ma
0.5499833818176288,A→physical,0.6143835359788951,0.5372312672865183,0.10443864229765012,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,16777216,degenerate,ma:0; mu:0; wabi:0; sabi:0; wabi_sabi:0; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:0; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:1; honden:0; chashitsu:0; karesansui:0,"byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi",aware
0.5497167526295845,A→physical,0.6113972890727981,0.5371206655492554,0.10443864229765012,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,8,degenerate,ma:0; mu:0; wabi:0; sabi:1; wabi_sabi:0; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:0; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi",sabi
0.5496937995857503,A→physical,0.6111402149818533,0.5371111442866279,0.10443864229765012,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,16,degenerate,ma:0; mu:0; wabi:0; sabi:0; wabi_sabi:1; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:0; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi",wabi_sabi
0.5493531324808788,A→physical,0.6073247434072933,0.5369698305246071,0.10443864229765012,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,4,degenerate,ma:0; mu:0; wabi:1; sabi:0; wabi_sabi:0; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:0; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi_sabi",wabi
0.5465101453574007,A→physical,0.5754832876243388,0.5357905173474606,0.10443864229765012,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,2,degenerate,ma:0; mu:1; wabi:0; sabi:0; wabi_sabi:0; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:0; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi",mu
0.5431904380012292,A→physical,0.5383025652352181,0.534413453555271,0.10443864229765012,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,32768,degenerate,ma:0; mu:0; wabi:0; sabi:0; wabi_sabi:0; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:0; shakkei:1; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi",shakkei
0.5417142795203713,A→physical,0.5217695902496104,0.5338011211483966,0.10443864229765012,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,16384,degenerate,ma:0; mu:0; wabi:0; sabi:0; wabi_sabi:0; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:1; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi",ikezuishi
0.5381933694329923,A→physical,0.4823353972709659,0.5323405954825209,-0.04177545691906005,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,64,degenerate,ma:0; mu:0; wabi:0; sabi:0; wabi_sabi:0; en:0; engawa:1; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:0; ikezuishi:0; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, tomeishi, torii, tsuboniwa, wabi, wabi_sabi",engawa
0.5370520504845904,A→physical,0.4695526250488624,0.5318671594742949,-0.04177545691906005,27,1,engawa:0.018; ikezuishi:0.022; tomeishi:0.030; karesansui:0.037; shakkei:0.038; en:0.040; shimenawa:0.046; roji:0.070,8192,degenerate,ma:0; mu:0; wabi:0; sabi:0; wabi_sabi:0; en:0; engawa:0; shōji:0; fusuma:0; tokonoma:0; chigaidana:0; doma:0; genkan:0; tomeishi:1; ikezuishi:0; shakkei:0; roji:0; torii:0; shimenawa:0; tsuboniwa:0; byōbu:0; hisashi:0; haiden:0; sandō:0; aware:0; honden:0; chashitsu:0; karesansui:0,"aware, byōbu, chashitsu, chigaidana, doma, en, engawa, fusuma, genkan, haiden, hisashi, honden, ikezuishi, karesansui, ma, mu, roji, sabi, sandō, shakkei, shimenawa, shōji, tokonoma, torii, tsuboniwa, wabi, wabi_sabi",tomeishi
