term,margin_abs
ikezuishi,0.00828590128701423
shakkei,0.026304479170800588
engawa,0.02896871971636611
tomeishi,0.04589011992421127
en,0.046283209439391515
karesansui,0.04904277381994482
shimenawa,0.05578796383204693
roji,0.07391606355774294
mu,0.07397389086744754
byōbu,0.07936399332481425
tsuboniwa,0.09305906727303809
chashitsu,0.09365269531581
sandō,0.09525545589317697
doma,0.09842870701393075
fusuma,0.09921233108043775
torii,0.0999391678768905
wabi,0.10525824272751749
haiden,0.10539600800933241
tokonoma,0.10613327932209482
chigaidana,0.10675486458442301
wabi_sabi,0.10874126808659146
honden,0.11138597160925184
hisashi,0.11154589191698894
sabi,0.11165769914312251
ma,0.11284565966629878
shōji,0.11494864608864636
aware,0.11625421606182151
genkan,0.11734093277781105
