term,margin_abs
ikezuishi,0.016128783527013024
engawa,0.024971781252515757
shakkei,0.028206566440848957
tomeishi,0.046193274370733284
karesansui,0.049278715408289486
en,0.05341609324433544
shimenawa,0.05895244018312007
roji,0.07367748177484718
mu,0.07539380442528487
byōbu,0.07853579193123528
torii,0.09066183291507124
chashitsu,0.0910458970220403
tsuboniwa,0.09268641870744831
sandō,0.09549911527046778
doma,0.09956950776908496
fusuma,0.10467100890162934
chigaidana,0.10739594442119699
tokonoma,0.10741501428859829
haiden,0.10778852803634925
wabi,0.10817218381000526
sabi,0.11090704686688879
shōji,0.1117442248668099
wabi_sabi,0.11284443401283306
hisashi,0.11333189546391953
honden,0.1134518526424616
genkan,0.11345908449904513
aware,0.11810020493992357
ma,0.12082368133067845
